coming_soon,is_free,discount_pct,platforms_win,platforms_mac,platforms_linux,metacritic_score,avg_playtime_forever,avg_playtime_2weeks,median_playtime,peak_ccu,required_age,dlc_count,achievements,publishing_model,genre_count,release_year,approval_rating,price_usd
False,False,0,True,False,False,,806,0,292,62,0,1,19,Self-Published,1,2018,0.8787037037037037,16.99
False,False,0,True,False,False,,291,331,286,2861,0,0,5,Publisher-Backed,1,2018,0.3713784021071115,4.99
False,False,0,True,False,False,70.0,1001,0,440,52,0,3,64,Publisher-Backed,1,2018,0.7650194117259985,39.99
False,False,0,True,True,True,90.0,1173,0,448,285,0,1,70,Self-Published,1,2018,0.9460823110407598,14.99
False,False,0,True,False,False,82.0,313,0,160,25,0,0,0,Self-Published,1,2011,0.8827914353687549,12.99
False,False,0,True,False,False,,323,0,253,1,0,2,52,Self-Published,1,2018,0.7367205542725174,9.99
False,False,0,True,False,False,,1447,0,15,217,0,0,0,Publisher-Backed,1,2018,0.9418803418803419,24.99
False,False,0,True,False,False,,320,0,105,13,0,1,59,Publisher-Backed,1,2018,0.9410604192355118,3.49
False,False,0,True,True,False,,287,0,293,1,0,2,59,Publisher-Backed,1,2018,0.823086574654956,14.99
False,False,0,True,True,True,84.0,36,0,24,0,0,1,30,Publisher-Backed,1,2018,0.9372093023255814,1.99
False,False,0,True,False,False,90.0,857,0,22,1383,0,0,0,Publisher-Backed,1,2018,0.8968330797953257,4.99
False,False,0,True,True,True,64.0,306,0,322,39,17,3,27,Publisher-Backed,1,2018,0.9014902096690348,9.99
False,False,0,True,True,True,64.0,245,0,230,19,0,3,42,Publisher-Backed,1,2018,0.7307244351269508,34.99
False,False,0,True,True,True,69.0,508,0,203,2,0,5,187,Self-Published,1,2018,0.8375900458415193,9.99
False,False,0,True,False,False,,147,0,73,4,0,2,24,Publisher-Backed,1,2018,0.8159827636862207,9.99
False,False,0,True,False,False,,6976,0,1108,35,0,1,29,Self-Published,1,2018,0.5246364414029084,17.99
False,False,0,True,True,True,,369,0,276,1,0,0,8,Self-Published,1,2016,0.9296680497925311,9.99
False,False,0,True,False,False,,288,0,156,2,0,1,36,Self-Published,1,2018,0.8728149487643159,9.99
False,False,0,True,False,False,,2986,128,667,1044,0,0,77,Self-Published,1,2018,0.9458498369696041,14.99
False,False,86,True,False,False,76.0,262,0,243,3,0,0,16,Self-Published,1,2018,0.9318738768175134,0.69
False,False,0,True,True,False,86.0,717,44,497,556,17,0,50,Publisher-Backed,1,2018,0.9609123542935506,19.99
False,False,0,True,False,False,,225,0,216,0,0,0,3,Self-Published,1,2018,0.5167883211678832,0.99
False,False,0,True,False,False,,202,0,219,3,0,0,0,Publisher-Backed,1,2016,0.4769736842105263,1.99
False,False,0,True,True,False,,614,150,270,555,0,0,24,Self-Published,1,2018,0.9518522559877789,5.99
False,False,0,True,False,False,72.0,188,0,193,6,17,2,35,Self-Published,1,2018,0.8692038495188101,19.99
False,False,50,True,False,False,81.0,3835,250,1248,7084,0,7,165,Publisher-Backed,1,2018,0.8601335476690986,19.99
False,False,0,True,False,False,64.0,180,0,133,13,0,0,16,Publisher-Backed,1,2018,0.5746624305003971,24.99
False,False,85,True,False,False,,395,0,42,22,0,0,0,Publisher-Backed,1,2018,0.8454166666666667,2.99
False,False,0,True,False,False,,184,0,205,0,0,0,0,Publisher-Backed,1,2018,0.4900900900900901,2.99
False,False,0,True,False,False,,743,0,532,26,17,2,0,Publisher-Backed,1,2018,0.6562609610662925,39.99
False,False,0,True,False,False,82.0,475,0,560,19,0,2,12,Self-Published,1,2018,0.9316588785046729,19.99
False,False,0,True,False,False,,1045,37,704,174,0,2,37,Self-Published,1,2018,0.9141957491472055,17.99
False,False,50,True,False,False,,1441,49,1439,506,0,37,57,Publisher-Backed,1,2018,0.4756134201301953,34.99
False,False,0,True,False,False,,0,0,0,0,0,0,0,Publisher-Backed,1,2018,0.0,10.99
False,False,0,True,False,True,80.0,470,54,300,17,0,1,29,Self-Published,1,2015,0.9094656992084432,19.99
False,False,0,True,False,False,,215,0,211,0,0,1,12,Publisher-Backed,1,2018,0.705,29.99
False,False,0,True,False,False,,221,0,60,59,0,5,97,Publisher-Backed,1,2018,0.861165319208252,1.99
False,False,0,True,False,False,75.0,530,0,191,76,17,10,35,Self-Published,1,2018,0.8217573221757322,29.99
False,False,70,True,False,False,,483,0,196,27,0,2,38,Publisher-Backed,1,2018,0.718034617532105,11.99
False,False,0,True,False,False,82.0,1041,0,685,40,0,1,89,Publisher-Backed,1,2018,0.9038171481610395,19.99
False,False,85,True,False,False,78.0,588,89,576,686,17,1,43,Publisher-Backed,1,2018,0.8681054110879914,5.99
False,False,0,True,False,False,,0,0,0,0,0,16,29,Publisher-Backed,1,2018,0.0,24.99
False,False,0,True,True,False,,2680,0,1154,1185,0,1,71,Self-Published,1,2018,0.9693222726561277,6.99
False,False,0,True,False,False,24.0,214,0,91,7,0,1,35,Publisher-Backed,1,2018,0.451095166163142,5.99
False,False,0,True,False,False,73.0,270,0,164,42,0,0,5,Self-Published,1,2018,0.9778942649239577,4.99
False,False,0,True,False,False,75.0,3591,715,561,4508,17,5,307,Self-Published,1,2018,0.8775006699982659,29.99
False,False,0,True,False,False,82.0,938,0,718,37,0,2,40,Publisher-Backed,1,2018,0.92181146025878,29.99
False,False,75,True,False,False,,1937,0,855,60,0,0,42,Publisher-Backed,1,2018,0.4979645008956196,4.99
False,False,0,True,False,False,,529,0,372,298,17,3,35,Publisher-Backed,1,2018,0.693582258325064,59.99
False,False,0,True,False,False,,0,0,0,0,0,0,0,Publisher-Backed,1,2018,0.5,7.99
False,False,0,True,True,True,84.0,358,0,52,8,0,0,22,Self-Published,1,2018,0.8744619799139168,11.99
False,False,0,True,False,False,,0,0,0,0,0,0,0,Self-Published,1,2018,0.7777777777777778,0.99
False,False,0,True,False,False,,211,0,127,5,0,0,44,Publisher-Backed,1,2018,0.8218724109362054,29.99
False,False,0,True,False,False,,2389,0,264,83,0,2,32,Publisher-Backed,1,2018,0.7719676549865229,29.99
False,False,0,True,True,False,,1096,567,705,499,0,0,59,Self-Published,1,2018,0.9100211541299749,6.99
False,False,0,True,False,False,83.0,227,0,248,25,0,1,21,Self-Published,1,2018,0.9307307307307308,24.99
False,False,0,True,True,False,,306,0,317,1,0,0,0,Publisher-Backed,1,2018,0.2807017543859649,1.99
False,False,0,True,True,True,71.0,269,0,242,63,17,2,0,Publisher-Backed,1,2018,0.7943573667711599,9.99
False,False,0,True,True,True,,36,0,31,0,0,1,8,Self-Published,1,2018,0.8,2.99
False,False,0,True,True,False,,1,0,1,5,0,0,0,Publisher-Backed,1,2018,0.7701149425287356,9.99
False,False,90,True,True,True,,247,0,244,0,0,0,32,Publisher-Backed,1,2018,0.6535031847133758,0.49
False,False,0,True,False,False,,2117,0,24,49,0,0,0,Publisher-Backed,1,2018,0.9481442484864439,4.99
False,False,0,True,True,True,75.0,304,0,130,5,0,3,40,Self-Published,1,2018,0.7146681965959074,29.99
False,False,0,True,False,False,59.0,208,0,154,20,0,0,58,Self-Published,1,2018,0.8110318592486924,9.99
False,False,50,True,True,False,72.0,688,425,602,958,0,8,101,Publisher-Backed,1,2018,0.8787685181487841,9.99
False,False,0,True,False,False,81.0,936,0,138,61,0,1,12,Publisher-Backed,1,2018,0.9031960461285008,16.99
False,False,0,True,False,True,,295,0,143,55,0,3,20,Self-Published,1,2018,0.90406162464986,24.99
False,False,0,True,False,False,74.0,490,0,152,118,0,0,0,Publisher-Backed,1,2018,0.8791415662650602,9.99
False,False,0,True,False,False,,0,0,0,0,0,0,0,Publisher-Backed,1,2018,0.6896551724137931,2.99
False,False,0,True,True,True,,0,0,0,0,0,0,0,Publisher-Backed,1,2018,0.75,9.99
False,False,0,True,True,True,87.0,12804,581,3241,19211,0,10,0,Self-Published,1,2018,0.979569345943558,34.99
