coming_soon,price_usd,is_free,discount_pct,platforms_win,platforms_mac,platforms_linux,metacritic_score,recommendations,positive_reviews,negative_reviews,avg_playtime_forever,avg_playtime_2weeks,median_playtime,peak_ccu,required_age,dlc_count,achievements,publishing_model,genre_count,release_year
False,39.99,False,0,True,False,False,,2783,1871,980,743,0,532,26,17,2,0,Publisher-Backed,1,2018
False,8.99,False,55,True,False,False,,6935,6262,471,352,0,397,4,0,1,25,Publisher-Backed,1,2018
False,2.49,False,75,True,True,True,92.0,288014,264082,8850,787,23,396,3331,0,1,0,Self-Published,1,2018
False,7.49,False,75,True,False,False,83.0,65840,66212,7260,437,0,198,73,17,1,14,Publisher-Backed,1,2018
False,19.99,False,0,True,False,False,64.0,2500,1395,1386,993,0,1465,1,0,0,123,Self-Published,1,2018
False,14.99,False,0,True,False,False,68.0,15739,18175,1778,671,0,233,49,17,2,50,Publisher-Backed,1,2018
False,3.99,False,0,True,True,True,,151,127,104,354,0,369,3,0,0,1,Self-Published,1,2018
False,0.99,False,0,True,False,False,,0,3,0,0,0,0,0,0,0,0,Publisher-Backed,1,2018
False,19.99,False,0,True,True,False,75.0,1433,1789,440,201,0,167,2,0,1,12,Publisher-Backed,1,2018
False,3.49,False,30,True,False,False,,330,483,422,231,0,220,1,0,0,0,Publisher-Backed,1,2018
False,24.99,False,0,True,False,False,64.0,1720,1447,1071,180,0,133,13,0,0,16,Publisher-Backed,1,2018
False,1.99,False,0,True,False,False,,0,2,4,0,0,0,0,0,0,0,Self-Published,1,2018
False,19.99,False,0,True,False,False,59.0,21193,18054,6004,1422,1083,432,89,0,0,36,Publisher-Backed,1,2018
False,2.99,False,80,True,False,False,,1492,1497,195,198,0,160,17,0,1,40,Publisher-Backed,1,2018
False,19.99,False,0,True,False,False,,0,1,0,0,0,0,1,0,0,0,Self-Published,1,2018
False,19.99,False,50,True,False,False,81.0,69110,69559,11311,3835,250,1248,7084,0,7,165,Publisher-Backed,1,2018
